用户ID        经验值         乐币
4480957     8173        43
4891382     2520        42
4501466     1564        42
4431422     360         42
4516263     2014        42
5326189     845         42
1345746     452         42
3003010     160         42
3024140     173         41
5255539     499         41
3003547     141         41
5335306     852         41
5337957     453         41
3006146     207         41
5337786     499         41
4480564     318         41
4498037     2056        41
242         5006        40
4886834     659         40
4891387     25          40
4894970     2522        40
3740245     403         40
5297215     498         40
5331232     212         40
5335044     742         40
5331180     272         40
4868831     404         40

(1000 行受影响)

